"Product SKU","Product Name","Description","Category"
"K-070","Cappuccino Cream","<h3>Cappuccino Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>cappuccino Flavored Spread</p>","Flavored Spreads"
"K-241","Pistachio Cream","<h3>Pistachio Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Pistachio Flavored Spread</p>","Flavored Spreads"
"K-069","Peanut Cream","<h3>Peanut Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Peanut Flavored Spread</p>","Flavored Spreads"
"K-068","Almond Cream","<h3>Almond Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Almond Flavored Spread</p>","Flavored Spreads"
"K-067","Mocha Cream","<h3>Mocha Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Mocha Flavored Spread</p>","Flavored Spreads"
"K-066","Cinnamon Cream","<h3>Cinnamon Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Cinnamon Flavored Spread</p>","Flavored Spreads"
"K-065","Cardamom Cream","<h3>Cardamom Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Cardamom Flavored Spread</p>","Flavored Spreads"
"K-064","Coconut Cream","<h3>Coconut Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Coconut Flavored Spread</p>","Flavored Spreads"
"K-063","Chocolate Cream","<h3>Chocolate Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Chocolate Flavored Spread</p>","Flavored Spreads"
"K-062","Hazelnut Cream","<h3>Hazelnut Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Hazelnut Flavored Spread</p>","Flavored Spreads"
"K-061","Caramel Cream","<h3>Caramel Cream</h3>
<hr>
<p>Packing Details<br>
1x500 gms. <br>
1x500 gms. x 24 / carton
</p>
<p>Caramel Flavored Spread</p>","Flavored Spreads"
"K-203","6 Pieces Edible Biscuit Cups","<h3>3 Pieces Edible Biscuit Cup</h3>
<hr>
<p>Packing Details<br>
1x6 pc. / box / 420 gms. <br>
1x6 pc. x 6 / carton
</p>
<p>Three Pieces plain edible biscuit cups</p>","Spoon, Plates and Cups"
"K-238","3 Pieces Digestive Biscuit Cup","<h3>3 Pieces Digestive Biscuit Cup</h3>
<hr>
<p>Packing Details<br>
1x3 pc. / box / 210 gms. <br>
1x3 pc. x 12 / carton
</p>
<p>Three Pieces digestive edible bran biscuit cups</p>","Spoon, Plates and Cups"
